,Index,Latitude,Longitude,2018
0,0,24.66818,71.33144,7.358204656527779
1,1,24.66818,71.41106,33.37712621833334
2,2,24.66818,71.49069,60.2668105225
3,3,24.66818,71.57031,81.39481672000001
4,4,24.66818,71.64994,20.215844418611116
5,5,24.66818,71.72956,29.326038677222225
6,6,24.66818,71.80919,39.58283011
7,7,24.66818,71.88882,57.228512550833344
8,8,24.66818,71.96844,42.8033962788889
9,9,24.66818,72.04807,55.99925051861111
10,10,24.66818,72.12769,11.504608987805558
11,11,24.66818,72.20732,5.282352281972222
12,12,24.66818,72.28694,4.4475868343055565
13,13,24.66818,72.36657,0.1811327843055556
14,14,24.58758,71.25181,0.5774703408055556
15,15,24.58758,71.33144,38.92538420416667
16,16,24.58758,71.41106,81.96112505666667
17,17,24.58758,71.49069,149.51944479722223
18,18,24.58758,71.57031,136.46521420833335
19,19,24.58758,71.64994,74.46511978583335
20,20,24.58758,71.72956,98.30739348944448
21,21,24.58758,71.80919,109.2027581588889
22,22,24.58758,71.88882,112.06023025500002
23,23,24.58758,71.96844,125.78551015555558
24,24,24.58758,72.04807,126.1465960625
25,25,24.58758,72.12769,67.91457600194445
26,26,24.58758,72.20732,44.26167408583334
27,27,24.58758,72.28694,34.922845468611115
28,28,24.58758,72.36657,4.570981456166668
29,29,24.50698,71.25181,0.2445198068888889
30,30,24.50698,71.33144,30.30167447277778
31,31,24.50698,71.41106,94.16617668944446
32,32,24.50698,71.49069,141.58038119166667
33,33,24.50698,71.57031,133.05839623333335
34,34,24.50698,71.64994,124.64444923500002
35,35,24.50698,71.72956,114.44108855861111
36,36,24.50698,71.80919,163.98675451111112
37,37,24.50698,71.88882,151.60365084444445
38,38,24.50698,71.96844,96.64025455277778
39,39,24.50698,72.04807,68.9991023813889
40,40,24.50698,72.12769,68.10419993972224
41,41,24.50698,72.20732,82.74064604472223
42,42,24.50698,72.28694,95.13745435
43,43,24.50698,72.36657,27.16699271722222
44,44,24.50698,72.44619,2.472054302805556
45,45,24.50698,72.60544,0.2883528583888889
46,46,24.50698,72.68507,0.5050442199166667
47,47,24.42638,71.33144,18.104976309805554
48,48,24.42638,71.41106,87.18706734916668
49,49,24.42638,71.49069,107.76723162972225
50,50,24.42638,71.57031,108.69329302583334
51,51,24.42638,71.64994,109.39361806805556
52,52,24.42638,71.72956,112.52528679527778
53,53,24.42638,71.80919,149.56517877083334
54,54,24.42638,71.88882,143.8506198611111
55,55,24.42638,71.96844,128.17153590555557
56,56,24.42638,72.04807,151.11972938611115
57,57,24.42638,72.12769,110.83611762916668
58,58,24.42638,72.20732,105.43980599416668
59,59,24.42638,72.28694,75.4771242138889
60,60,24.42638,72.36657,71.09514702472222
61,61,24.42638,72.44619,15.863058168055558
62,62,24.42638,72.52582,7.843836320666668
63,63,24.42638,72.60544,22.315470800000003
64,64,24.42638,72.68507,9.792539835388888
65,65,24.42638,73.00357,4.799338532888889
66,66,24.42638,73.08319,6.619802633888889
67,67,24.42638,73.16282,0.4112854360833334
68,68,24.34578,71.25181,0.1269729098333333
69,69,24.34578,71.33144,7.238929257722223
70,70,24.34578,71.41106,101.81795163666668
71,71,24.34578,71.49069,115.56397819638887
72,72,24.34578,71.57031,110.76865535944444
73,73,24.34578,71.64994,117.41281996583336
74,74,24.34578,71.72956,156.3950564027778
75,75,24.34578,71.80919,188.89953613611115
76,76,24.34578,71.88882,136.64638414444445
77,77,24.34578,71.96844,105.85061730055558
78,78,24.34578,72.04807,176.5788989638889
79,79,24.34578,72.12769,166.83769608611112
80,80,24.34578,72.20732,107.05220816694448
81,81,24.34578,72.28694,35.63730223888889
82,82,24.34578,72.36657,46.44223801527777
83,83,24.34578,72.44619,29.240195697500003
84,84,24.34578,72.52582,73.36360412055556
85,85,24.34578,72.60544,32.887100907500006
86,86,24.34578,72.68507,6.594067798555556
87,87,24.34578,73.00357,12.886258045194449
88,88,24.34578,73.08319,42.510512775277775
89,89,24.34578,73.16282,8.453467687583336
90,90,24.34578,73.24244,0.1248828380277777
91,91,24.26518,71.25181,1.1883916791944444
92,92,24.26518,71.33144,46.576632763888895
93,93,24.26518,71.41106,143.09997091944447
94,94,24.26518,71.49069,122.28183046833335
95,95,24.26518,71.57031,86.69993844750002
96,96,24.26518,71.64994,134.94139797916668
97,97,24.26518,71.72956,155.76376108055558
98,98,24.26518,71.80919,126.16820333277778
99,99,24.26518,71.88882,125.50565085777778
100,100,24.26518,71.96844,121.92425409722225
101,101,24.26518,72.04807,185.11578496111116
102,102,24.26518,72.12769,149.33042269166668
103,103,24.26518,72.20732,112.72206856333337
104,104,24.26518,72.28694,128.45529919361113
105,105,24.26518,72.36657,147.71144103611113
106,106,24.26518,72.44619,121.47818904333336
107,107,24.26518,72.52582,75.69147406694447
108,108,24.26518,72.60544,6.734478513250001
109,109,24.26518,72.68507,11.773728330416668
110,110,24.26518,72.76469,4.673086577277778
111,111,24.26518,72.84432,7.072047486222223
112,112,24.26518,72.92394,5.756880207444445
113,113,24.26518,73.00357,21.413116030833333
114,114,24.26518,73.08319,16.8041902375
115,115,24.26518,73.16282,1.2717761296666668
116,116,24.26518,73.24244,0.0252749306388888
